item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
1,33119,241,1,433.92,0.2047,345.1
2,17782,371,2,2.24,0.0408,4.3
3,72003,380,1,20.0,0.2212,15.58
4,6485,57,5,115.66,0.0,578.3
5,45503,107,5,1317.67,0.0,6588.35
6,67701,380,1,20.0,0.259,14.82
7,50512,462,1,456.75,0.0,456.75
8,96215,356,3,5.98,0.0,17.94
9,29565,246,1,136.72,0.1366,118.04
10,57291,429,1,270.55,0.1564,228.24
11,74993,409,5,45.93,0.3552,148.08
12,65616,80,3,20.41,0.0,61.23
13,6749,362,1,25.64,0.0,25.64
14,16269,404,1,67.85,0.3239,45.87
15,30698,185,1,158.82,0.0,158.82
16,30760,460,1,62.92,0.0,62.92
17,55156,199,4,83.3,0.2324,255.76
18,8023,231,1,240.39,0.2285,185.46
19,23132,214,1,105.3,0.1981,84.44
20,69729,17,2,131.87,0.1482,224.65
21,37450,235,2,155.75,0.0,311.5
22,91707,294,4,320.68,0.0,1282.72
23,469,242,1,690.9,0.0,690.9
24,58795,380,3,20.0,0.0,60.0
25,17897,322,1,1.04,0.05,0.99
26,63817,141,1,198462.0,0.0,198462.0
27,78806,95,2,20.93,0.0,41.86
28,56752,299,1,1.72,0.0,1.72
29,69446,274,3,117.79,0.0178,347.08
30,16849,300,3,26.98,0.0842,74.12
31,50452,87,1,1946.42,0.36,1245.71
32,5643,395,3,19.16,0.2882,40.91
33,85862,220,2,80.56,0.2794,116.1
34,30803,9,4,213.76,0.0,855.04
35,23844,479,1,97.04,0.0,97.04
36,40380,465,1,73.02,0.0,73.02
37,5232,228,1,94.94,0.0,94.94
38,78093,478,2,196.2,0.1653,327.54
39,63402,63,2,2.0,0.0,4.0
40,19340,113,1,35.35,0.0,35.35
41,36755,206,4,584.41,0.2663,1715.13
42,83665,21,6,297.89,0.0,1787.34
43,50369,160,5,2385.98,0.2906,8463.07
44,71398,193,2,473.04,0.0,946.08
45,37683,70,5,55.76,0.0268,271.33
46,82822,200,1,143.82,0.0,143.82
47,2862,272,1,38.7,0.2174,30.29
48,14093,404,1,67.85,0.0,67.85
49,35305,40,2,15.7,0.0337,30.34
50,89327,146,1,57.51,0.0,57.51
51,29932,329,4,192.16,0.0,768.64
52,46257,342,6,50.22,0.2495,226.14
53,6543,364,1,159.19,0.0,159.19
54,11366,109,1,221.78,0.0,221.78
55,19770,207,1,22.03,0.0,22.03
56,25151,97,1,67.12,0.0,67.12
57,1062,72,2,9.05,0.0,18.1
58,33853,420,4,38.0,0.0,152.0
59,20068,373,1,44.46,0.0182,43.65
60,2325,432,3,17.57,0.0,52.71
61,78983,313,1,31.35,0.1675,26.1
62,70641,7,3,849.31,0.2262,1971.59
63,78035,435,1,189.25,0.0,189.25
64,66441,333,2,280.89,0.0,561.78
65,7473,131,1,4.49,0.0,4.49
66,86788,13,2,631.67,0.0,1263.34
67,81861,145,2,280.61,0.0,561.22
68,17489,288,1,833.14,0.1139,738.25
69,25669,291,3,308.48,0.0936,838.82
70,14361,199,1,83.3,0.0,83.3
71,679,90,2,11.7,0.0,23.4
72,54436,294,5,320.68,0.01,1587.37
73,31569,242,3,690.9,0.0,2072.7
74,6546,335,3,7.27,0.0,21.81
75,4077,58,1,585.76,0.0,585.76
76,28922,126,1,63.99,0.0,63.99
77,1854,283,5,19.85,0.0,99.25
78,39496,54,4,1004.99,0.0,4019.96
79,70695,356,1,5.98,0.2585,4.43
80,38958,312,4,71.49,0.0,285.96
81,74695,29,2,3.94,0.0,7.88
82,54742,113,3,35.35,0.0,106.05
83,12007,205,2,144.98,0.0615,272.13
84,68525,64,2,42.42,0.0,84.84
85,48711,333,3,280.89,0.2388,641.44
86,63756,183,2,147.32,0.0,294.64
87,72252,301,2,440.84,0.0,881.68
88,44727,254,6,31.84,0.2883,135.96
89,81479,249,1,1269.95,0.0,1269.95
90,42274,335,1,7.27,0.3559,4.68
91,37785,34,1,1038.4,0.0,1038.4
92,61721,6,1,41.0,0.0,41.0
93,26679,42,2,268.79,0.0,537.58
94,13027,388,1,292.93,0.3875,179.42
95,99683,426,3,849.19,0.013,2514.45
96,81479,136,2,644.31,0.0,1288.62
97,46618,449,3,482.52,0.328,972.76
98,35261,81,1,28.49,0.0,28.49
99,28985,433,1,101.02,0.0479,96.18
100,22448,39,1,1626.46,0.0,1626.46
101,20915,359,5,161.22,0.0,806.1
102,2681,374,3,33.72,0.2253,78.37
103,13524,70,5,55.76,0.0991,251.17
