order_id,customer_id,order_date,ship_date,delivery_date,channel,payment_method,shipping_cost,discount_amount,status,city,state,country,orphaned_order,order_year,order_month,order_dow
1,2533.0,2022-08-31,2022-09-04,2022-09-11,Wholesale,Cash,20.8,0.0,Shipped,Stephenmouth,TX,US,0,2022.0,2022-08,Wednesday
2,1052.0,2022-08-27,2022-09-03,2022-09-11,Social Commerce,BNPL,21.12,8.75,Processing,East Elizabethtown,CA,US,0,2022.0,2022-08,Saturday
3,7051.0,2023-04-03,2023-04-06,2023-04-16,Mobile App,Credit Card,11.05,0.0,Completed,Andersonmouth,NJ,US,0,2023.0,2023-04,Monday
4,2230.0,2024-09-16,2024-09-20,2024-09-29,Online,Cash,6.21,0.0,Completed,Teresaton,FL,US,0,2024.0,2024-09,Monday
5,8185.0,2023-02-16,2023-02-19,2023-02-25,Social Commerce,Debit Card,5.24,25.66,Completed,Feliciaside,MD,US,0,2023.0,2023-02,Thursday
6,739.0,2023-12-29,,,Wholesale,Gift Card,24.18,0.0,Shipped,Lake Jasontown,NC,US,0,2023.0,2023-12,Friday
7,4389.0,2024-04-03,2024-04-09,2024-04-14,Wholesale,Credit Card,20.07,0.0,Completed,Lake Harold,MO,US,0,2024.0,2024-04,Wednesday
8,3847.0,2022-10-12,2022-10-17,,Mobile App,Debit Card,3.34,0.0,Processing,Lake Mary,MA,US,0,2022.0,2022-10,Wednesday
9,8637.0,2023-07-24,2023-07-28,,Online,Apple Pay,11.5,105.8,Completed,Parkport,MD,US,0,2023.0,2023-07,Monday
10,3421.0,2024-12-08,,,Online,Cash,21.06,15.21,Cancelled,Smithmouth,TX,US,0,2024.0,2024-12,Sunday
11,9414.0,2024-07-17,2024-07-21,2024-07-25,Wholesale,Cash,12.4,126.58,Completed,New Joybury,NJ,US,0,2024.0,2024-07,Wednesday
12,4687.0,2023-02-17,2023-02-20,2023-03-01,Social Commerce,Gift Card,15.63,0.0,Shipped,Savageland,VA,US,0,2023.0,2023-02,Friday
13,3893.0,2023-03-13,2023-03-20,2023-03-24,Wholesale,BNPL,8.02,27.8,Completed,North Sarahstad,NJ,US,0,2023.0,2023-03,Monday
14,4897.0,2022-07-24,2022-07-29,2022-08-01,Wholesale,Gift Card,9.22,17.41,Completed,Margaretport,NJ,US,0,2022.0,2022-07,Sunday
15,2362.0,2022-03-31,2022-04-06,2022-04-13,Social Commerce,BNPL,1.44,0.0,Completed,Garzaland,AZ,US,0,2022.0,2022-03,Thursday
16,6097.0,,2024-11-03,2024-11-08,Wholesale,BNPL,17.6,13.72,Completed,New Gabriellachester,PA,US,0,,,
17,828.0,2024-06-15,2024-06-17,2024-06-21,Wholesale,Debit Card,8.07,0.22,Processing,Eugenefort,TX,US,0,2024.0,2024-06,Saturday
