customer_id,last_order_date,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,segment
1.0,2024-12-28,7,11269.64,3.0,3,3,3,333,Potential Loyalists
2.0,2023-03-02,7,15107.81,670.0,3,3,4,334,Loyal Customers
3.0,2024-09-03,4,8979.880000000001,119.0,3,1,2,312,Hibernating
4.0,2024-11-24,8,12993.710000000001,37.0,3,3,3,333,Potential Loyalists
5.0,2024-09-30,9,14863.98,92.0,3,4,4,344,Loyal Customers
6.0,2024-11-18,9,17825.95,43.0,3,4,4,344,Loyal Customers
7.0,2024-09-05,11,11823.539999999999,117.0,3,5,3,353,Potential Loyalists
8.0,2024-09-13,7,19271.25,109.0,3,3,4,334,Loyal Customers
9.0,2024-09-24,6,8217.98,98.0,3,2,2,322,Hibernating
10.0,2024-06-01,5,1977.6399999999999,213.0,3,1,1,311,Hibernating
11.0,2024-10-18,10,11266.17,74.0,3,5,3,353,Potential Loyalists
12.0,2024-09-29,8,9487.59,93.0,3,3,2,332,Potential Loyalists
13.0,2024-04-09,10,111647.99,266.0,3,5,5,355,Loyal Customers
14.0,2024-01-08,12,13443.23,358.0,3,5,3,353,Potential Loyalists
15.0,2024-04-10,8,22912.86,265.0,3,3,5,335,Loyal Customers
16.0,2024-12-15,9,18006.33,16.0,3,4,4,344,Loyal Customers
17.0,2024-11-02,9,7256.71,59.0,3,4,2,342,Potential Loyalists
18.0,2024-08-10,6,8471.55,143.0,3,2,2,322,Hibernating
19.0,2024-05-21,6,11896.21,224.0,3,2,3,323,Hibernating
20.0,2024-05-21,3,6642.030000000001,224.0,3,1,2,312,Hibernating
21.0,2024-12-28,9,11848.57,3.0,3,4,3,343,Potential Loyalists
22.0,2024-06-02,9,13488.1,212.0,3,4,3,343,Potential Loyalists
23.0,2024-12-12,11,213856.9,19.0,3,5,5,355,Loyal Customers
24.0,2024-11-18,7,4887.04,43.0,3,3,1,331,Potential Loyalists
25.0,2024-08-30,11,27583.09,123.0,3,5,5,355,Loyal Customers
26.0,2024-12-17,10,12724.15,14.0,3,5,3,353,Potential Loyalists
27.0,2024-09-18,5,444363.56,104.0,3,1,5,315,Promising
28.0,2024-08-28,9,9939.18,125.0,3,4,2,342,Potential Loyalists
29.0,2024-12-28,9,16264.720000000001,3.0,3,4,4,344,Loyal Customers
30.0,2024-02-22,4,4141.68,313.0,3,1,1,311,Hibernating
31.0,2024-04-04,6,14403.64,271.0,3,2,3,323,Hibernating
32.0,2024-12-11,7,18518.649999999998,20.0,3,3,4,334,Loyal Customers
33.0,2024-12-26,7,14762.48,5.0,3,3,4,334,Loyal Customers
34.0,2024-04-16,4,6492.49,259.0,3,1,1,311,Hibernating
35.0,2023-11-07,9,52230.08,420.0,3,4,5,345,Loyal Customers
36.0,2024-08-22,5,4444.85,131.0,3,1,1,311,Hibernating
37.0,2024-06-25,8,12174.89,189.0,3,3,3,333,Potential Loyalists
38.0,2024-04-03,6,10010.79,272.0,3,2,2,322,Hibernating
39.0,2024-08-09,9,10758.87,144.0,3,4,3,343,Potential Loyalists
40.0,2024-08-12,10,18184.28,141.0,3,5,4,354,Loyal Customers
41.0,2024-10-15,8,22758.12,77.0,3,3,5,335,Loyal Customers
42.0,2024-07-15,9,17773.0,169.0,3,4,4,344,Loyal Customers
43.0,2024-10-06,7,18703.51,86.0,3,3,4,334,Loyal Customers
44.0,2024-10-08,7,4860.53,84.0,3,3,1,331,Potential Loyalists
45.0,2024-09-17,10,26933.18,105.0,3,5,5,355,Loyal Customers
46.0,2024-09-25,4,9545.74,97.0,3,1,2,312,Hibernating
47.0,2024-08-12,7,3559.44,141.0,3,3,1,331,Potential Loyalists
48.0,2024-11-29,10,16310.56,32.0,3,5,4,354,Loyal Customers
49.0,2024-12-18,10,14485.54,13.0,3,5,4,354,Loyal Customers
50.0,2024-08-10,12,26933.98,143.0,3,5,5,355,Loyal Customers
51.0,2024-12-18,8,9415.55,13.0,3,3,2,332,Potential Loyalists
52.0,2024-11-21,12,14392.720000000001,40.0,3,5,3,353,Potential Loyalists
53.0,2024-08-03,5,7895.63,150.0,3,1,2,312,Hibernating
54.0,2024-11-13,9,15154.36,48.0,3,4,4,344,Loyal Customers
55.0,2024-08-21,12,14833.949999999999,132.0,3,5,4,354,Loyal Customers
56.0,2024-10-31,12,32812.01,61.0,3,5,5,355,Loyal Customers
57.0,2024-07-14,7,6632.81,170.0,3,3,2,332,Potential Loyalists
58.0,2023-12-28,6,13409.68,369.0,3,2,3,323,Hibernating
59.0,2024-09-13,5,11539.22,109.0,3,1,3,313,Hibernating
60.0,2024-10-02,9,19148.89,90.0,3,4,4,344,Loyal Customers
61.0,2024-12-14,7,6516.6,17.0,3,3,1,331,Potential Loyalists
62.0,2023-10-07,5,7316.8,451.0,3,1,2,312,Hibernating
63.0,2024-08-26,12,15307.539999999999,127.0,3,5,4,354,Loyal Customers
64.0,2024-11-24,10,17974.32,37.0,3,5,4,354,Loyal Customers
65.0,2023-11-26,9,22583.96,401.0,3,4,5,345,Loyal Customers
66.0,2024-04-23,8,6246.05,252.0,3,3,1,331,Potential Loyalists
67.0,2024-10-21,9,8668.54,71.0,3,4,2,342,Potential Loyalists
68.0,2024-10-20,12,47649.229999999996,72.0,3,5,5,355,Loyal Customers
69.0,2024-10-08,8,7556.77,84.0,3,3,2,332,Potential Loyalists
70.0,2024-07-22,7,11829.36,162.0,3,3,3,333,Potential Loyalists
71.0,2023-08-25,4,3753.62,494.0,3,1,1,311,Hibernating
72.0,2024-12-11,7,7919.9,20.0,3,3,2,332,Potential Loyalists
73.0,2024-06-30,8,7123.14,184.0,3,3,2,332,Potential Loyalists
74.0,2024-04-29,8,8715.0,246.0,3,3,2,332,Potential Loyalists
75.0,2024-10-27,10,349059.87,65.0,3,5,5,355,Loyal Customers
76.0,2024-03-16,4,12262.51,290.0,3,1,3,313,Hibernating
77.0,2024-11-02,8,10276.46,59.0,3,3,3,333,Potential Loyalists
78.0,2024-10-13,9,13548.93,79.0,3,4,3,343,Potential Loyalists
79.0,2024-12-05,8,9118.1,26.0,3,3,2,332,Potential Loyalists
80.0,2023-09-24,8,15988.78,464.0,3,3,4,334,Loyal Customers
81.0,2024-12-07,12,29405.989999999998,24.0,3,5,5,355,Loyal Customers
82.0,2024-12-27,7,8808.82,4.0,3,3,2,332,Potential Loyalists
83.0,2024-01-29,8,10201.75,337.0,3,3,2,332,Potential Loyalists
84.0,2024-12-17,7,7978.0,14.0,3,3,2,332,Potential Loyalists
85.0,2024-09-30,8,14806.920000000002,92.0,3,3,4,334,Loyal Customers
86.0,2024-12-27,8,11830.49,4.0,3,3,3,333,Potential Loyalists
87.0,2024-12-26,8,6458.42,5.0,3,3,1,331,Potential Loyalists
88.0,2024-08-16,7,5189.69,137.0,3,3,1,331,Potential Loyalists
89.0,2024-10-05,9,8254.23,87.0,3,4,2,342,Potential Loyalists
90.0,2024-05-12,8,18549.870000000003,233.0,3,3,4,334,Loyal Customers
91.0,2024-10-03,8,11140.230000000001,89.0,3,3,3,333,Potential Loyalists
92.0,2024-08-08,5,4247.89,145.0,3,1,1,311,Hibernating
93.0,2024-12-06,8,18349.19,25.0,3,3,4,334,Loyal Customers
