year,status,total_orders,gross_revenue,gross_profit,avg_line_value,avg_order_value
2022,Completed,20166,133075361.65,114218989.02,2105.42,6599.0
2022,Shipped,3682,19378129.69,15934157.81,1649.2,5262.94
2022,Processing,2415,15710676.82,13466569.41,2074.84,6505.46
2022,Cancelled,2234,10683257.13,8630462.02,1521.18,4782.12
2022,Refunded,1461,8914112.15,7560181.84,1890.99,6101.38
2022,On Hold,929,3017404.72,2216493.2,1031.24,3248.01
2023,Completed,20339,123086919.34,104075763.48,1914.32,6051.77
2023,Shipped,3787,20471583.75,16990526.76,1705.54,5405.75
2023,Cancelled,2213,14433808.88,12406671.14,2090.95,6522.28
2023,Processing,2517,13848455.66,11517099.62,1747.44,5501.97
2023,Refunded,1574,11136150.99,9664057.57,2244.29,7075.06
2023,On Hold,894,4776480.55,4048646.5,1785.6,5342.82
2024,Completed,20139,132920965.68,113953625.18,2087.26,6600.18
2024,Shipped,3817,22897320.22,19330712.74,1892.34,5998.77
2024,Processing,2562,17700992.21,15276563.44,2194.25,6909.05
2024,Cancelled,2240,13560080.86,11489186.67,1920.15,6053.61
2024,Refunded,1558,10940104.0,9475405.0,2231.76,7021.89
2024,On Hold,966,4234845.23,3323152.29,1373.61,4383.9
