month,revenue,prev_month_revenue,mom_change,mom_growth_pct
2022-01,12711482.3,,,
2022-02,13251807.95,12711482.3,540325.65,4.25
2022-03,13720092.52,13251807.95,468284.57,3.53
2022-04,10828142.45,13720092.52,-2891950.07,-21.08
2022-05,13769023.57,10828142.45,2940881.12,27.16
2022-06,10813571.82,13769023.57,-2955451.75,-21.46
2022-07,11965710.44,10813571.82,1152138.62,10.65
2022-08,11199153.81,11965710.44,-766556.63,-6.41
2022-09,9863266.65,11199153.81,-1335887.16,-11.93
2022-10,18597895.28,9863266.65,8734628.63,88.56
2022-11,11492485.58,18597895.28,-7105409.7,-38.21
2022-12,14240858.97,11492485.58,2748373.39,23.91
2023-01,12170066.23,14240858.97,-2070792.74,-14.54
2023-02,14096625.39,12170066.23,1926559.16,15.83
2023-03,11256419.05,14096625.39,-2840206.34,-20.15
2023-04,8810561.92,11256419.05,-2445857.13,-21.73
2023-05,10404269.45,8810561.92,1593707.53,18.09
2023-06,11327450.26,10404269.45,923180.81,8.87
2023-07,10392617.11,11327450.26,-934833.15,-8.25
2023-08,12839995.18,10392617.11,2447378.07,23.55
2023-09,14237665.82,12839995.18,1397670.64,10.89
2023-10,14029653.71,14237665.82,-208012.11,-1.46
2023-11,11976218.24,14029653.71,-2053435.47,-14.64
2023-12,12016960.73,11976218.24,40742.49,0.34
2024-01,13010878.48,12016960.73,993917.75,8.27
2024-02,13287235.47,13010878.48,276356.99,2.12
2024-03,13190123.89,13287235.47,-97111.58,-0.73
2024-04,15066969.94,13190123.89,1876846.05,14.23
2024-05,11451995.21,15066969.94,-3614974.73,-23.99
2024-06,12105218.2,11451995.21,653222.99,5.7
2024-07,13603530.56,12105218.2,1498312.36,12.38
2024-08,14227337.4,13603530.56,623806.84,4.59
2024-09,9631606.78,14227337.4,-4595730.62,-32.3
2024-10,13465796.6,9631606.78,3834189.82,39.81
2024-11,12978541.3,13465796.6,-487255.3,-3.62
2024-12,13799052.07,12978541.3,820510.77,6.32
