category,year,revenue,prev_year_revenue,yoy_growth_pct
Beauty,2022,3011667.49,,
Beauty,2023,3051159.81,3011667.49,1.31
Beauty,2024,2959514.34,3051159.81,-3.0
Books,2022,634666.0,,
Books,2023,647371.14,634666.0,2.0
Books,2024,669311.86,647371.14,3.39
Clothing,2022,1809562.0,,
Clothing,2023,1825706.82,1809562.0,0.89
Clothing,2024,1832013.4,1825706.82,0.35
Electronics,2022,123915038.83,,
Electronics,2023,115813219.27,123915038.83,-6.54
Electronics,2024,127736598.66,115813219.27,10.3
Grocery,2022,377729.02,,
Grocery,2023,374607.91,377729.02,-0.83
Grocery,2024,376214.35,374607.91,0.43
Home & Kitchen,2022,8950775.74,,
Home & Kitchen,2023,8889614.06,8950775.74,-0.68
Home & Kitchen,2024,8881957.67,8889614.06,-0.09
Sports,2022,6888738.23,,
Sports,2023,6856718.46,6888738.23,-0.46
Sports,2024,6825699.23,6856718.46,-0.45
Toys,2022,6865314.03,,
Toys,2023,6100105.62,6865314.03,-11.15
Toys,2024,6536976.39,6100105.62,7.16
