month,revenue,cumulative_revenue,rolling_3m_avg
2022-01,12711482.3,12711482.3,12711482.3
2022-02,13251807.95,25963290.25,12981645.13
2022-03,13720092.52,39683382.77,13227794.26
2022-04,10828142.45,50511525.22,12600014.31
2022-05,13769023.57,64280548.79,12772419.51
2022-06,10813571.82,75094120.61,11803579.28
2022-07,11965710.44,87059831.05,12182768.61
2022-08,11199153.81,98258984.86,11326145.36
2022-09,9863266.65,108122251.51,11009376.97
2022-10,18597895.28,126720146.79,13220105.25
2022-11,11492485.58,138212632.37,13317882.5
2022-12,14240858.97,152453491.34,14777079.94
2023-01,12170066.23,164623557.57,12634470.26
2023-02,14096625.39,178720182.96,13502516.86
2023-03,11256419.05,189976602.01,12507703.56
2023-04,8810561.92,198787163.93,11387868.79
2023-05,10404269.45,209191433.38,10157083.47
2023-06,11327450.26,220518883.64,10180760.54
2023-07,10392617.11,230911500.75,10708112.27
2023-08,12839995.18,243751495.93,11520020.85
2023-09,14237665.82,257989161.75,12490092.7
2023-10,14029653.71,272018815.46,13702438.24
2023-11,11976218.24,283995033.7,13414512.59
2023-12,12016960.73,296011994.43,12674277.56
2024-01,13010878.48,309022872.91,12334685.82
2024-02,13287235.47,322310108.38,12771691.56
2024-03,13190123.89,335500232.27,13162745.95
2024-04,15066969.94,350567202.21,13848109.77
2024-05,11451995.21,362019197.42,13236363.01
2024-06,12105218.2,374124415.62,12874727.78
2024-07,13603530.56,387727946.18,12386914.66
2024-08,14227337.4,401955283.58,13312028.72
2024-09,9631606.78,411586890.36,12487491.58
2024-10,13465796.6,425052686.96,12441580.26
2024-11,12978541.3,438031228.26,12025314.89
2024-12,13799052.07,451830280.33,13414463.32
