order_date,daily_revenue,rolling_30d_revenue
2022-01-01,166645.25,166645.25
2022-01-02,94573.61,261218.86
2022-01-03,161050.66,422269.52
2022-01-04,1549277.72,1971547.24
2022-01-05,658947.89,2630495.13
2022-01-06,297616.56,2928111.69
2022-01-07,1024418.42,3952530.11
2022-01-08,202561.69,4155091.8
2022-01-09,499870.31,4654962.11
2022-01-10,127423.98,4782386.09
2022-01-11,131993.04,4914379.13
2022-01-12,135511.81,5049890.94
2022-01-13,723582.62,5773473.56
2022-01-14,127389.82,5900863.38
2022-01-15,244537.16,6145400.54
2022-01-16,118591.89,6263992.43
2022-01-17,79663.5,6343655.93
2022-01-18,294488.89,6638144.82
2022-01-19,911108.56,7549253.38
2022-01-20,723669.7,8272923.08
2022-01-21,244519.52,8517442.6
2022-01-22,117237.67,8634680.27
2022-01-23,106057.26,8740737.53
2022-01-24,1015226.62,9755964.15
2022-01-25,63005.0,9818969.15
2022-01-26,306159.08,10125128.23
2022-01-27,101529.69,10226657.92
2022-01-28,161962.77,10388620.69
2022-01-29,1351656.54,11740277.23
2022-01-30,881435.93,12621713.16
2022-01-31,89769.14,12544837.05
2022-02-01,675139.75,13125403.19
2022-02-02,974678.35,13939030.88
2022-02-03,112037.92,12501791.08
2022-02-04,1330145.21,13172988.4
2022-02-05,223596.79,13098968.63
2022-02-06,318509.38,12393059.59
2022-02-07,108696.97,12299194.87
2022-02-08,293191.07,12092515.63
2022-02-09,545841.49,12510933.14
2022-02-10,1028792.57,13407732.67
2022-02-11,849179.98,14121400.84
2022-02-12,716703.97,14114522.19
2022-02-13,83171.54,14070303.91
2022-02-14,142258.79,13968025.54
2022-02-15,141430.96,13990864.61
2022-02-16,432216.14,14343417.25
2022-02-17,231752.89,14280681.25
2022-02-18,387077.6,13756650.29
2022-02-19,390354.34,13423334.93
2022-02-20,98010.58,13276825.99
2022-02-21,719157.01,13878745.33
2022-02-22,219160.94,13991849.01
2022-02-23,1558995.66,14535618.05
2022-02-24,118935.88,14591548.93
2022-02-25,1041353.19,15326743.04
2022-02-26,137149.73,15362363.08
2022-02-27,79701.3,15280101.61
2022-02-28,294567.95,14223013.02
2022-03-01,65447.86,13407024.95
2022-03-02,496280.41,13813536.22
2022-03-03,136282.23,13274678.7
2022-03-04,421374.4,12721374.75
2022-03-05,182065.51,12791402.34
2022-03-06,84433.55,11545690.68
2022-03-07,412308.97,11734402.86
2022-03-08,623316.15,12039209.63
2022-03-09,535221.46,12465734.12
2022-03-10,744696.86,12917239.91
2022-03-11,363279.8,12734678.22
2022-03-12,82618.0,11788503.65
2022-03-13,263011.14,11202334.81
2022-03-14,575186.93,11060817.77
2022-03-15,103898.53,11081544.76
2022-03-16,103822.56,11043108.53
2022-03-17,1654201.87,12555879.44
2022-03-18,160931.33,12284594.63
2022-03-19,686467.76,12739309.5
2022-03-20,106213.47,12458445.37
2022-03-21,588270.64,12656361.67
2022-03-22,486228.13,13044579.22
2022-03-23,505110.87,12830533.08
2022-03-24,88756.31,12700128.45
2022-03-25,750269.74,11891402.53
2022-03-26,647441.69,12419908.34
2022-03-27,1101635.35,12480190.5
2022-03-28,392949.96,12735990.73
2022-03-29,118496.42,12774785.85
2022-03-30,97403.26,12577621.16
2022-03-31,1142471.36,13654644.66
2022-04-01,100426.67,13258790.92
2022-04-02,134608.06,13257116.75
2022-04-03,1169757.78,14005500.13
2022-04-04,74359.91,13897794.53
2022-04-05,295135.1,14108496.08
2022-04-06,93825.0,13790012.11
2022-04-07,107769.06,13274465.02
2022-04-08,143471.92,12882715.48
2022-04-09,149010.97,12287029.59
2022-04-10,446303.9,12370053.69
2022-04-11,128567.82,12416003.51
2022-04-12,765626.2,12918618.57
2022-04-13,1347269.78,13690701.42
2022-04-14,1159187.12,14745990.01
2022-04-15,279974.52,14922141.97
2022-04-16,178009.17,13445949.27
2022-04-17,148984.7,13434002.64
2022-04-18,368020.35,13115555.23
2022-04-19,101002.77,13110344.53
2022-04-20,272474.44,12794548.33
2022-04-21,92185.38,12400505.58
2022-04-22,95844.23,11991238.94
2022-04-23,92072.22,11994554.85
2022-04-24,168300.75,11412585.86
2022-04-25,1839209.42,12604353.59
2022-04-26,277868.98,11780587.22
2022-04-27,166821.97,11554459.23
2022-04-28,88794.56,11524757.37
2022-04-29,443408.1,11870762.21
2022-04-30,99851.6,10828142.45
2022-05-01,128905.58,10856621.36
2022-05-02,120996.05,10843009.35
2022-05-03,120709.53,9793961.1
2022-05-04,1322988.72,11042589.91
2022-05-05,1174465.1,11921919.91
2022-05-06,505142.32,12333237.23
2022-05-07,338626.82,12564094.99
2022-05-08,730624.47,13151247.54
2022-05-09,98154.3,13100390.87
2022-05-10,683049.27,13337136.24
2022-05-11,521266.65,13729835.07
2022-05-12,617760.3,13581969.17
2022-05-13,356082.72,12590782.11
2022-05-14,868795.64,12300390.63
2022-05-15,1123953.74,13144369.85
2022-05-16,884991.66,13851352.34
2022-05-17,73230.92,13775598.56
2022-05-18,198506.41,13606084.62
2022-05-19,92916.94,13597998.79
2022-05-20,144010.62,13469534.97
2022-05-21,112878.06,13490227.65
2022-05-22,111450.59,13505834.01
2022-05-23,625591.95,14039353.74
2022-05-24,137445.71,14008498.7
2022-05-25,312935.66,12482224.94
2022-05-26,123520.28,12327876.24
2022-05-27,460760.4,12621814.67
2022-05-28,274827.26,12807847.37
2022-05-29,466786.76,12831226.03
2022-05-30,867286.28,13598660.71
2022-05-31,170362.86,13640117.99
2022-06-01,103107.13,13622229.07
2022-06-02,1350556.2,14852075.74
2022-06-03,266042.02,13795129.04
2022-06-04,127838.39,12748502.33
2022-06-05,116878.97,12360238.98
2022-06-06,757040.52,12778652.68
2022-06-07,105768.44,12153796.65
2022-06-08,736353.84,12791996.19
2022-06-09,76313.72,12185260.64
2022-06-10,123464.97,11787458.96
2022-06-11,530421.64,11700120.3
2022-06-12,874467.05,12218504.63
2022-06-13,517860.98,11867569.97
2022-06-14,182829.12,10926445.35
2022-06-15,156449.63,10197903.32
2022-06-16,156946.27,10281618.67
2022-06-17,505276.35,10588388.61
2022-06-18,706863.06,11202334.73
2022-06-19,509804.6,11568128.71
2022-06-20,84610.16,11539860.81
2022-06-21,608504.13,12036914.35
2022-06-22,555058.64,11966381.04
2022-06-23,148918.47,11977853.8
2022-06-24,82608.06,11747526.2
2022-06-25,255193.69,11879199.61
2022-06-26,302706.89,11721146.1
2022-06-27,143542.2,11589861.04
2022-06-28,477138.1,11600212.38
2022-06-29,112256.69,10845182.79
2022-06-30,138751.89,10813571.82
2022-07-01,1045654.95,11756119.64
2022-07-02,660371.27,11065934.71
2022-07-03,122028.99,10921921.68
2022-07-04,132635.63,10926718.92
2022-07-05,221239.96,11031079.91
2022-07-06,121920.25,10395959.64
2022-07-07,177421.45,10467612.65
2022-07-08,269104.31,10000363.12
2022-07-09,346832.78,10270882.18
2022-07-10,679603.13,10827020.34
2022-07-11,250144.74,10546743.44
2022-07-12,268570.8,9940847.19
2022-07-13,101425.57,9524411.78
2022-07-14,111555.87,9453138.53
2022-07-15,91840.54,9388529.44
2022-07-16,131337.5,9362920.67
2022-07-17,476362.66,9334006.98
2022-07-18,235967.66,8863111.58
2022-07-19,581834.4,8935141.38
2022-07-20,708315.61,9558846.83
2022-07-21,281506.16,9231848.86
2022-07-22,792432.12,9469222.34
2022-07-23,444761.25,9765065.12
2022-07-24,846436.42,10528893.48
2022-07-25,121169.09,10394868.88
2022-07-26,785295.08,10877457.07
2022-07-27,130252.89,10864167.76
2022-07-28,93480.92,10480510.58
2022-07-29,1294921.62,11663175.51
2022-07-30,137850.42,11662274.04
2022-07-31,303436.4,10920055.49
2022-08-01,118128.87,10377813.09
2022-08-02,93888.46,10349672.56
2022-08-03,438901.36,10655938.29
2022-08-04,1663883.15,12098581.48
2022-08-05,175319.18,12151980.41
2022-08-06,293272.96,12267831.92
2022-08-07,104131.69,12102859.3
2022-08-08,1014812.06,12770838.58
2022-08-09,76859.86,12168095.31
2022-08-10,288090.58,12206041.15
2022-08-11,117695.68,12055166.03
2022-08-12,145294.2,12099034.66
2022-08-13,232152.79,12219631.58
2022-08-14,281311.31,12409102.35
2022-08-15,316530.74,12594295.59
2022-08-16,126342.53,12244275.46
2022-08-17,145375.17,12153682.97
2022-08-18,263460.0,11835308.57
2022-08-19,888845.02,12015837.98
2022-08-20,342140.74,12076472.56
2022-08-21,70937.33,11354977.77
2022-08-22,115212.42,11025428.94
2022-08-23,81179.63,10260172.15
2022-08-24,121670.63,10260673.69
2022-08-25,119345.55,9594724.16
2022-08-26,888889.67,10353360.94
2022-08-27,1674696.58,11934576.6
2022-08-28,84795.14,10724450.12
2022-08-29,109000.04,10695599.74
2022-08-30,75176.37,10467339.71
2022-08-31,731814.1,11081024.94
2022-09-01,695103.27,11682239.75
2022-09-02,910585.5,12153923.89
2022-09-03,138128.98,10628169.72
2022-09-04,86349.42,10539199.96
2022-09-05,124865.73,10370792.73
2022-09-06,111552.06,10378213.1
2022-09-07,140308.22,9503709.26
2022-09-08,67966.68,9494816.08
2022-09-09,124128.62,9330854.12
2022-09-10,92864.87,9306023.31
2022-09-11,128851.44,9289580.55
2022-09-12,142566.83,9199994.59
2022-09-13,112160.27,9030843.55
2022-09-14,280599.9,8994912.71
2022-09-15,133755.32,9002325.5
2022-09-16,90846.65,8947796.98
2022-09-17,2165772.23,10850109.21
2022-09-18,158607.03,10119871.22
2022-09-19,496714.49,10274444.97
2022-09-20,125167.74,10328675.38
2022-09-21,341048.57,10554511.53
2022-09-22,770104.35,11243436.25
2022-09-23,309689.87,11431455.49
2022-09-24,82472.25,11394582.19
2022-09-25,109387.98,10615080.5
2022-09-26,1133576.14,10073960.06
2022-09-27,155612.49,10144777.41
2022-09-28,81706.62,10117483.99
2022-09-29,261915.4,10304223.02
2022-09-30,290857.73,9863266.65
2022-10-01,111985.1,9280148.48
2022-10-02,538143.82,8907706.8
2022-10-03,608637.3,9378215.12
2022-10-04,544398.74,9836264.44
2022-10-05,1131883.3,10843282.01
2022-10-06,495227.62,11226957.57
2022-10-07,578106.94,11664756.29
2022-10-08,489927.08,12086716.69
2022-10-09,920220.91,12882808.98
2022-10-10,1279709.84,14069653.95
2022-10-11,384833.34,14325635.85
2022-10-12,477158.34,14660227.36
2022-10-13,295375.45,14843442.54
2022-10-14,470782.63,15033625.27
2022-10-15,123122.62,15022992.57
2022-10-16,491907.33,15424053.25
2022-10-17,1299932.23,14558213.25
2022-10-18,607939.07,15007545.29
2022-10-19,632285.44,15143116.24
2022-10-20,2421688.39,17439636.89
2022-10-21,492019.45,17590607.77
2022-10-22,684403.64,17504907.06
2022-10-23,526085.4,17721302.59
2022-10-24,741412.15,18380242.49
2022-10-25,143413.48,18414267.99
2022-10-26,304780.26,17585472.11
2022-10-27,950451.99,18380311.61
2022-10-28,425794.57,18724399.56
2022-10-29,171124.86,18633609.02
2022-10-30,114601.66,18457352.95
2022-10-31,140542.33,18485910.18
2022-11-01,544122.17,18491888.53
2022-11-02,66531.0,17949782.23
2022-11-03,142940.04,17548323.53
2022-11-04,647601.41,17064041.64
2022-11-05,263250.06,16832064.08
2022-11-06,205242.29,16459199.43
2022-11-07,251228.28,16220500.63
2022-11-08,1823630.46,17123910.18
2022-11-09,503146.33,16347346.67
2022-11-10,895838.77,16858352.1
2022-11-11,77372.9,16458566.66
2022-11-12,355656.03,16518847.24
2022-11-13,484824.3,16532888.91
2022-11-14,104892.31,16514658.6
2022-11-15,340018.92,16362770.19
2022-11-16,139603.27,15202441.23
2022-11-17,505789.89,15100292.05
2022-11-18,538972.34,15006978.95
2022-11-19,218845.29,12804135.85
2022-11-20,90833.85,12402950.25
2022-11-21,806571.91,12525118.52
2022-11-22,162245.17,12161278.29
2022-11-23,101240.07,11521106.21
2022-11-24,169793.74,11547486.47
2022-11-25,118009.0,11360715.21
2022-11-26,879160.22,11289423.44
2022-11-27,293060.1,11156688.97
2022-11-28,119408.3,11104972.41
2022-11-29,525226.84,11515597.59
2022-11-30,117430.32,11492485.58
2022-12-01,226376.44,11174739.85
2022-12-02,720229.95,11828438.8
2022-12-03,428844.98,12114343.74
2022-12-04,328032.84,11794775.17
2022-12-05,578370.15,12109895.26
2022-12-06,114610.57,12019263.54
2022-12-07,993431.23,12761466.49
2022-12-08,99051.52,11036887.55
2022-12-09,102789.71,10636530.93
2022-12-10,111756.69,9852448.85
2022-12-11,161656.59,9936732.54
2022-12-12,476513.77,10057590.28
2022-12-13,249755.81,9822521.79
2022-12-14,218162.59,9935792.07
2022-12-15,1265405.35,10861178.5
2022-12-16,1029224.48,11750799.71
2022-12-17,1927682.27,13172692.09
2022-12-18,108598.45,12742318.2
2022-12-19,270571.76,12794044.67
2022-12-20,115371.66,12818582.48
2022-12-21,104541.5,12116552.07
2022-12-22,300913.68,12255220.58
2022-12-23,1033342.39,13187322.9
2022-12-24,156071.46,13173600.62
2022-12-25,87629.03,13143220.65
2022-12-26,110079.6,12374140.03
2022-12-27,111463.52,12192543.45
2022-12-28,165307.6,12238442.75
2022-12-29,932903.41,12646119.32
2022-12-30,1183319.05,13712008.05
2022-12-31,528850.92,14014482.53
2023-01-01,84369.94,13378622.52
2023-01-02,585365.6,13535143.14
2023-01-03,74663.43,13281773.73
2023-01-04,104374.57,12807778.15
2023-01-05,113587.25,12806754.83
2023-01-06,96792.42,11910116.02
2023-01-07,601980.58,12413045.08
2023-01-08,491473.37,12801728.74
2023-01-09,296240.24,12986212.29
2023-01-10,119398.48,12943954.18
2023-01-11,116501.29,12583941.7
2023-01-12,144013.25,12478199.14
2023-01-13,1291277.61,13551314.16
2023-01-14,130665.75,12416574.56
2023-01-15,1281591.93,12668942.01
2023-01-16,109170.77,10850430.51
2023-01-17,133139.71,10874971.77
2023-01-18,485553.41,11089953.42
2023-01-19,203707.8,11178289.56
2023-01-20,308654.11,11382402.17
2023-01-21,121226.66,11202715.15
2023-01-22,574236.61,10743609.37
2023-01-23,328712.99,10916250.9
2023-01-24,1110679.3,11939301.17
2023-01-25,183575.41,12012796.98
2023-01-26,147830.21,12049163.67
2023-01-27,480685.1,12364541.17
2023-01-28,323101.99,11754739.75
2023-01-29,485352.77,11056773.47
2023-01-30,91429.62,10619352.17
2023-01-31,1550714.06,12085696.29
2023-02-01,135864.05,11636194.74
2023-02-02,795685.46,12357216.77
2023-02-03,105477.61,12358319.81
2023-02-04,364608.68,12609341.24
2023-02-05,78579.78,12591128.6
2023-02-06,1100660.23,13089808.25
2023-02-07,274640.28,12872975.16
2023-02-08,606399.81,13183134.73
2023-02-09,255426.66,13319162.91
2023-02-10,1467925.18,14670586.8
2023-02-11,134409.41,14660982.96
2023-02-12,114439.41,13484144.76
2023-02-13,1148192.96,14501671.97
2023-02-14,993130.61,14213210.65
2023-02-15,483722.78,14587762.66
2023-02-16,169014.42,14623637.37
2023-02-17,293665.81,14431749.77
2023-02-18,146084.37,14374126.34
2023-02-19,601415.37,14666887.6
2023-02-20,1329807.33,15875468.27
2023-02-21,538890.3,15840121.96
2023-02-22,463767.3,15975176.27
2023-02-23,131159.49,14995656.46
2023-02-24,236243.11,15048324.16
2023-02-25,1096371.24,15996865.19
2023-02-26,119882.8,15636062.89
2023-02-27,422314.06,15735274.96
2023-02-28,488846.88,15738769.07
2023-03-01,70927.87,15718267.32
2023-03-02,143509.69,14311062.95
2023-03-03,103044.9,14278243.8
2023-03-04,181650.81,13664209.15
2023-03-05,870061.56,14428793.1
2023-03-06,123081.92,14187266.34
2023-03-07,160820.54,14269507.1
2023-03-08,855477.29,14024324.16
2023-03-09,105878.95,13855562.83
2023-03-10,107439.71,13356602.73
2023-03-11,113058.7,13214234.77
2023-03-12,642694.17,12389003.76
2023-03-13,343543.78,12598138.13
2023-03-14,515981.38,12999680.1
2023-03-15,136557.72,11988044.86
2023-03-16,108932.91,11103847.16
2023-03-17,294493.86,10914618.24
2023-03-18,859803.53,11605407.35
2023-03-19,858234.35,12169975.89
2023-03-20,82665.52,12106557.04
2023-03-21,106250.31,11611391.98
2023-03-22,632248.28,10913832.93
2023-03-23,109560.77,10484503.4
2023-03-24,765001.39,10785737.49
2023-03-25,114364.77,10768942.77
2023-03-26,106773.15,10639472.81
2023-03-27,1147588.01,10690689.58
2023-03-28,100742.93,10671549.71
2023-03-29,323454.89,10572690.54
2023-03-30,429045.87,10512889.53
2023-03-31,743529.52,11185491.18
2023-04-01,303615.35,11345596.84
2023-04-02,246079.0,11488630.94
2023-04-03,489959.83,11796939.96
2023-04-04,131902.13,11058780.53
2023-04-05,272457.34,11208155.95
2023-04-06,138456.73,11185792.14
2023-04-07,1129288.02,11459602.87
2023-04-08,77718.9,11431442.82
2023-04-09,99324.29,11423327.4
2023-04-10,303906.99,11614175.69
2023-04-11,437282.98,11408764.5
2023-04-12,122406.49,11187627.21
2023-04-13,96806.8,10768452.63
2023-04-14,149565.19,10781460.1
2023-04-15,95517.67,10768044.86
2023-04-16,336876.78,10810427.78
2023-04-17,119230.43,10069854.68
2023-04-18,135948.61,9347568.94
2023-04-19,94622.98,9359526.4
2023-04-20,114567.62,9367843.71
2023-04-21,399341.15,9134936.58
2023-04-22,959467.58,9984843.39
2023-04-23,183193.76,9403035.76
2023-04-24,136730.48,9425401.47
2023-04-25,86235.19,9404863.51
2023-04-26,715264.48,8972539.98
2023-04-27,586302.96,9458100.01
2023-04-28,583838.4,9718483.52
2023-04-29,152631.61,9442069.26
2023-04-30,112022.18,8810561.92
2023-05-01,316740.72,8823687.29
2023-05-02,138640.94,8716249.23
2023-05-03,129763.62,8356053.02
2023-05-04,121231.24,8345382.13
2023-05-05,222938.56,8295863.35
2023-05-06,298208.02,8455614.64
2023-05-07,759006.27,8085332.89
2023-05-08,93983.1,8101597.09
2023-05-09,167019.09,8169291.89
2023-05-10,293396.77,8158781.67
2023-05-11,1063570.54,8785069.23
2023-05-12,657706.22,9320368.96
2023-05-13,99268.21,9322830.37
2023-05-14,113093.56,9286358.74
2023-05-15,90042.29,9280883.36
2023-05-16,81573.03,9025579.61
2023-05-17,1320588.53,10226937.71
2023-05-18,124506.69,10215495.79
2023-05-19,300231.46,10421104.27
2023-05-20,567820.88,10874357.53
2023-05-21,116399.13,10591415.51
2023-05-22,189422.78,9821370.71
2023-05-23,231411.21,9869588.16
2023-05-24,151736.84,9884594.52
2023-05-25,112024.61,9910383.94
2023-05-26,779152.85,9974272.31
2023-05-27,261704.24,9649673.59
2023-05-28,73237.06,9139072.25
2023-05-29,257251.36,9243692.0
2023-05-30,381262.6,9512932.42
2023-05-31,891337.03,10087528.73
2023-06-01,107019.08,10055906.87
2023-06-02,108174.36,10034317.61
2023-06-03,761123.76,10674210.13
2023-06-04,1269677.18,11720948.75
2023-06-05,363867.98,11786608.71
2023-06-06,123709.84,11151312.28
2023-06-07,132542.4,11189871.58
2023-06-08,355958.02,11378810.51
2023-06-09,153135.83,11238549.57
2023-06-10,261675.12,10436654.15
2023-06-11,153333.94,9932281.87
2023-06-12,277345.28,10110358.94
2023-06-13,589144.64,10586410.02
2023-06-14,268117.0,10764484.73
2023-06-15,116922.91,10799834.61
2023-06-16,103902.28,9583148.36
2023-06-17,334766.07,9793407.74
2023-06-18,94906.46,9588082.74
2023-06-19,1644018.05,10664279.91
2023-06-20,113546.93,10661427.71
2023-06-21,106171.03,10578175.96
2023-06-22,1314219.05,11660983.8
2023-06-23,555907.85,12065154.81
2023-06-24,280214.9,12233345.1
2023-06-25,595621.33,12049813.58
2023-06-26,273796.04,12061905.38
2023-06-27,436495.14,12425163.46
2023-06-28,206100.68,12374012.78
2023-06-29,94236.22,12086986.4
2023-06-30,131800.89,11327450.26
2023-07-01,152615.77,11373046.95
2023-07-02,149666.73,11414539.32
2023-07-03,104973.7,10758389.26
2023-07-04,814530.07,10303242.15
2023-07-05,99114.67,10038488.84
2023-07-06,456570.97,10371349.97
2023-07-07,103227.22,10342034.79
2023-07-08,293235.55,10279312.32
2023-07-09,66825.73,10193002.22
2023-07-10,591795.27,10523122.37
2023-07-11,589686.01,10959474.44
2023-07-12,632356.17,11314485.33
2023-07-13,473821.06,11199161.75
2023-07-14,93850.17,11024894.92
2023-07-15,236678.4,11144650.41
2023-07-16,127878.05,11168626.18
2023-07-17,103446.22,10937306.33
2023-07-18,134342.79,10976742.66
2023-07-19,168906.28,9501630.89
2023-07-20,116228.13,9504312.09
2023-07-21,209181.13,9607322.19
2023-07-22,131146.43,8424249.57
2023-07-23,521984.94,8390326.66
2023-07-24,377289.38,8487401.14
2023-07-25,100885.63,7992665.44
2023-07-26,1184856.28,8903725.68
2023-07-27,606620.51,9073851.05
2023-07-28,921245.37,9788995.74
2023-07-29,307722.57,10002482.09
2023-07-30,103745.52,9974426.72
2023-07-31,418190.39,10240001.34
2023-08-01,112395.56,10202730.17
2023-08-02,106310.36,10204066.83
2023-08-03,270230.11,9659766.87
2023-08-04,100370.12,9661022.32
2023-08-05,295519.68,9499971.03
2023-08-06,772904.93,10169648.74
2023-08-07,76718.7,9953131.89
2023-08-08,849582.22,10735888.38
2023-08-09,144769.71,10288862.82
2023-08-10,90853.66,9790030.47
2023-08-11,1286120.59,10443794.89
2023-08-12,96370.72,10066344.55
2023-08-13,142846.27,10115340.65
2023-08-14,537606.44,10416268.69
2023-08-15,425814.31,10714204.95
2023-08-16,173088.91,10783847.64
2023-08-17,440984.46,11090489.31
2023-08-18,814674.48,11736257.51
2023-08-19,265500.59,11885529.97
2023-08-20,89418.48,11765767.32
2023-08-21,99414.11,11734035.0
2023-08-22,88259.45,11300309.51
2023-08-23,100026.05,11023046.18
2023-08-24,120634.76,11042795.31
2023-08-25,677358.35,10535297.38
2023-08-26,961373.91,10890050.78
2023-08-27,1311659.66,11280465.07
2023-08-28,94405.07,11067147.57
2023-08-29,86852.48,11050254.53
2023-08-30,1104875.83,11736939.97
2023-08-31,1103055.21,12727599.62
2023-09-01,139774.68,12761063.94
2023-09-02,88548.97,12579382.8
2023-09-03,111285.99,12590298.67
2023-09-04,182829.17,12477608.16
2023-09-05,117559.5,11822262.73
2023-09-06,270355.77,12015899.8
2023-09-07,145696.06,11312013.64
2023-09-08,424093.55,11591337.48
2023-09-09,1025279.8,12525763.62
2023-09-10,1361839.39,12601482.42
2023-09-11,457748.43,12962860.13
2023-09-12,1055272.78,13875286.64
2023-09-13,91333.45,13429013.65
2023-09-14,757505.8,13760705.14
2023-09-15,1367013.55,14954629.78
2023-09-16,114875.25,14628520.57
2023-09-17,109543.81,13923389.9
2023-09-18,115846.89,13773736.2
2023-09-19,115871.25,13800188.97
2023-09-20,324325.81,14025100.67
2023-09-21,115403.88,14052245.1
2023-09-22,110818.49,14063037.54
2023-09-23,331139.46,14273542.24
2023-09-24,381224.07,13977407.96
2023-09-25,153441.6,13169475.65
2023-09-26,127284.51,11985100.5
2023-09-27,1258660.42,13149355.85
2023-09-28,119273.58,13181776.95
2023-09-29,101931.75,12178832.87
2023-09-30,3161888.16,14237665.82
2023-10-01,529974.74,14627865.88
2023-10-02,236794.09,14776111.0
2023-10-03,576080.06,15240905.07
2023-10-04,765600.36,15823676.26
2023-10-05,413495.99,16119612.75
2023-10-06,283785.71,16133042.69
2023-10-07,936275.75,16923622.38
2023-10-08,328116.64,16827645.47
2023-10-09,164906.45,15967272.12
2023-10-10,1659647.39,16265080.12
2023-10-11,128525.93,15935857.62
2023-10-12,85580.32,14966165.16
2023-10-13,102311.52,14977143.23
2023-10-14,481253.15,14700890.58
2023-10-15,114094.48,13447971.51
2023-10-16,119436.19,13452532.45
