order_date,daily_revenue,rolling_90d_revenue,days_in_window
2022-01-01,166645.25,166645.25,1
2022-01-02,94573.61,261218.86,2
2022-01-03,161050.66,422269.52,3
2022-01-04,1549277.72,1971547.24,4
2022-01-05,658947.89,2630495.13,5
2022-01-06,297616.56,2928111.69,6
2022-01-07,1024418.42,3952530.11,7
2022-01-08,202561.69,4155091.8,8
2022-01-09,499870.31,4654962.11,9
2022-01-10,127423.98,4782386.09,10
2022-01-11,131993.04,4914379.13,11
2022-01-12,135511.81,5049890.94,12
2022-01-13,723582.62,5773473.56,13
2022-01-14,127389.82,5900863.38,14
2022-01-15,244537.16,6145400.54,15
2022-01-16,118591.89,6263992.43,16
2022-01-17,79663.5,6343655.93,17
2022-01-18,294488.89,6638144.82,18
2022-01-19,911108.56,7549253.38,19
2022-01-20,723669.7,8272923.08,20
2022-01-21,244519.52,8517442.6,21
2022-01-22,117237.67,8634680.27,22
2022-01-23,106057.26,8740737.53,23
2022-01-24,1015226.62,9755964.15,24
2022-01-25,63005.0,9818969.15,25
2022-01-26,306159.08,10125128.23,26
2022-01-27,101529.69,10226657.92,27
2022-01-28,161962.77,10388620.69,28
2022-01-29,1351656.54,11740277.23,29
2022-01-30,881435.93,12621713.16,30
2022-01-31,89769.14,12711482.3,31
2022-02-01,675139.75,13386622.05,32
2022-02-02,974678.35,14361300.4,33
2022-02-03,112037.92,14473338.32,34
2022-02-04,1330145.21,15803483.53,35
2022-02-05,223596.79,16027080.32,36
2022-02-06,318509.38,16345589.7,37
2022-02-07,108696.97,16454286.67,38
2022-02-08,293191.07,16747477.74,39
2022-02-09,545841.49,17293319.23,40
2022-02-10,1028792.57,18322111.8,41
2022-02-11,849179.98,19171291.78,42
2022-02-12,716703.97,19887995.75,43
2022-02-13,83171.54,19971167.29,44
2022-02-14,142258.79,20113426.08,45
2022-02-15,141430.96,20254857.04,46
2022-02-16,432216.14,20687073.18,47
2022-02-17,231752.89,20918826.07,48
2022-02-18,387077.6,21305903.67,49
2022-02-19,390354.34,21696258.01,50
2022-02-20,98010.58,21794268.59,51
2022-02-21,719157.01,22513425.6,52
2022-02-22,219160.94,22732586.54,53
2022-02-23,1558995.66,24291582.2,54
2022-02-24,118935.88,24410518.08,55
2022-02-25,1041353.19,25451871.27,56
2022-02-26,137149.73,25589021.0,57
2022-02-27,79701.3,25668722.3,58
2022-02-28,294567.95,25963290.25,59
2022-03-01,65447.86,26028738.11,60
2022-03-02,496280.41,26525018.52,61
2022-03-03,136282.23,26661300.75,62
2022-03-04,421374.4,27082675.15,63
2022-03-05,182065.51,27264740.66,64
2022-03-06,84433.55,27349174.21,65
2022-03-07,412308.97,27761483.18,66
2022-03-08,623316.15,28384799.33,67
2022-03-09,535221.46,28920020.79,68
2022-03-10,744696.86,29664717.65,69
2022-03-11,363279.8,30027997.45,70
2022-03-12,82618.0,30110615.45,71
2022-03-13,263011.14,30373626.59,72
2022-03-14,575186.93,30948813.52,73
2022-03-15,103898.53,31052712.05,74
2022-03-16,103822.56,31156534.61,75
2022-03-17,1654201.87,32810736.48,76
2022-03-18,160931.33,32971667.81,77
2022-03-19,686467.76,33658135.57,78
2022-03-20,106213.47,33764349.04,79
2022-03-21,588270.64,34352619.68,80
2022-03-22,486228.13,34838847.81,81
2022-03-23,505110.87,35343958.68,82
2022-03-24,88756.31,35432714.99,83
2022-03-25,750269.74,36182984.73,84
2022-03-26,647441.69,36830426.42,85
2022-03-27,1101635.35,37932061.77,86
2022-03-28,392949.96,38325011.73,87
2022-03-29,118496.42,38443508.15,88
2022-03-30,97403.26,38540911.41,89
2022-03-31,1142471.36,39683382.77,90
2022-04-01,100426.67,39617164.19,90
2022-04-02,134608.06,39657198.64,90
2022-04-03,1169757.78,40665905.76,90
2022-04-04,74359.91,39190987.95,90
2022-04-05,295135.1,38827175.16,90
2022-04-06,93825.0,38623383.6,90
2022-04-07,107769.06,37706734.24,90
2022-04-08,143471.92,37647644.47,90
2022-04-09,149010.97,37296785.13,90
2022-04-10,446303.9,37615665.05,90
2022-04-11,128567.82,37612239.83,90
2022-04-12,765626.2,38242354.22,90
2022-04-13,1347269.78,38866041.38,90
2022-04-14,1159187.12,39897838.68,90
2022-04-15,279974.52,39933276.04,90
2022-04-16,178009.17,39992693.32,90
2022-04-17,148984.7,40062014.52,90
2022-04-18,368020.35,40135545.98,90
2022-04-19,101002.77,39325440.19,90
2022-04-20,272474.44,38874244.93,90
2022-04-21,92185.38,38721910.79,90
2022-04-22,95844.23,38700517.35,90
2022-04-23,92072.22,38686532.31,90
2022-04-24,168300.75,37839606.44,90
2022-04-25,1839209.42,39615810.86,90
2022-04-26,277868.98,39587520.76,90
2022-04-27,166821.97,39652813.04,90
2022-04-28,88794.56,39579644.83,90
2022-04-29,443408.1,38671396.39,90
2022-04-30,99851.6,37889812.06,90
2022-05-01,128905.58,37928948.5,90
2022-05-02,120996.05,37374804.8,90
2022-05-03,120709.53,36520835.98,90
2022-05-04,1322988.72,37731786.78,90
2022-05-05,1174465.1,37576106.67,90
2022-05-06,505142.32,37857652.2,90
2022-05-07,338626.82,37877769.64,90
2022-05-08,730624.47,38499697.14,90
2022-05-09,98154.3,38304660.37,90
2022-05-10,683049.27,38441868.15,90
2022-05-11,521266.65,37934342.23,90
2022-05-12,617760.3,37702922.55,90
2022-05-13,356082.72,37342301.3,90
2022-05-14,868795.64,38127925.4,90
2022-05-15,1123953.74,39109620.35,90
2022-05-16,884991.66,39853181.05,90
2022-05-17,73230.92,39494195.83,90
2022-05-18,198506.41,39460949.35,90
2022-05-19,92916.94,39166788.69,90
2022-05-20,144010.62,38920444.97,90
2022-05-21,112878.06,38935312.45,90
2022-05-22,111450.59,38327606.03,90
2022-05-23,625591.95,38734037.04,90
2022-05-24,137445.71,37312487.09,90
2022-05-25,312935.66,37506486.87,90
2022-05-26,123520.28,36588653.96,90
2022-05-27,460760.4,36912264.63,90
2022-05-28,274827.26,37107390.59,90
2022-05-29,466786.76,37279609.4,90
2022-05-30,867286.28,38081447.82,90
2022-05-31,170362.86,37755530.27,90
2022-06-01,103107.13,37722355.17,90
2022-06-02,1350556.2,38651536.97,90
2022-06-03,266042.02,38735513.48,90
2022-06-04,127838.39,38778918.32,90
2022-06-05,116878.97,38483488.32,90
2022-06-06,757040.52,38617212.69,90
2022-06-07,105768.44,38187759.67,90
2022-06-08,736353.84,38179416.65,90
2022-06-09,76313.72,37892450.57,90
2022-06-10,123464.97,37933297.54,90
2022-06-11,530421.64,38200708.04,90
2022-06-12,874467.05,38499988.16,90
2022-06-13,517860.98,38913950.61,90
2022-06-14,182829.12,38992957.17,90
2022-06-15,156449.63,37495204.93,90
2022-06-16,156946.27,37491219.87,90
2022-06-17,505276.35,37310028.46,90
2022-06-18,706863.06,37910678.05,90
2022-06-19,509804.6,37832212.01,90
2022-06-20,84610.16,37430594.04,90
2022-06-21,608504.13,37533987.3,90
2022-06-22,555058.64,38000289.63,90
2022-06-23,148918.47,37398938.36,90
2022-06-24,82608.06,36834104.73,90
2022-06-25,255193.69,35987663.07,90
2022-06-26,302706.89,35897420.0,90
2022-06-27,143542.2,35922465.78,90
2022-06-28,477138.1,36302200.62,90
2022-06-29,112256.69,35271985.95,90
2022-06-30,138751.89,35310311.17,90
2022-07-01,1045654.95,36221358.06,90
2022-07-02,660371.27,35711971.55,90
2022-07-03,122028.99,35759640.63,90
2022-07-04,132635.63,35597141.16,90
2022-07-05,221239.96,35724556.12,90
2022-07-06,121920.25,35738707.31,90
2022-07-07,177421.45,35772656.84,90
2022-07-08,269104.31,35892750.18,90
2022-07-09,346832.78,35793279.06,90
2022-07-10,679603.13,36344314.37,90
2022-07-11,250144.74,35828832.91,90
2022-07-12,268570.8,34750133.93,90
2022-07-13,101425.57,33692372.38,90
2022-07-14,111555.87,33523953.73,90
2022-07-15,91840.54,33437785.1,90
2022-07-16,131337.5,33420137.9,90
2022-07-17,476362.66,33528480.21,90
2022-07-18,235967.66,33663445.1,90
2022-07-19,581834.4,33972805.06,90
2022-07-20,708315.61,34588935.29,90
2022-07-21,281506.16,34774597.22,90
2022-07-22,792432.12,35474957.12,90
2022-07-23,444761.25,35751417.62,90
2022-07-24,846436.42,34758644.62,90
2022-07-25,121169.09,34601944.73,90
2022-07-26,785295.08,35220417.84,90
2022-07-27,130252.89,35261876.17,90
2022-07-28,93480.92,34911948.99,90
2022-07-29,1294921.62,36107019.01,90
2022-07-30,137850.42,36115963.85,90
2022-07-31,303436.4,36298404.2,90
2022-08-01,118128.87,36295823.54,90
2022-08-02,93888.46,35066723.28,90
2022-08-03,438901.36,34331159.54,90
2022-08-04,1663883.15,35489900.37,90
2022-08-05,175319.18,35326592.73,90
2022-08-06,293272.96,34889241.22,90
2022-08-07,104131.69,34895218.61,90
2022-08-08,1014812.06,35226981.4,90
2022-08-09,76859.86,34782574.61,90
2022-08-10,288090.58,34452904.89,90
2022-08-11,117695.68,34214517.85,90
2022-08-12,145294.2,33491016.41,90
2022-08-13,232152.79,32599215.46,90
2022-08-14,281311.31,31995535.11,90
2022-08-15,316530.74,32238834.93,90
2022-08-16,126342.53,32166671.05,90
2022-08-17,145375.17,32219129.28,90
2022-08-18,263460.0,32338578.66,90
2022-08-19,888845.02,33114545.62,90
2022-08-20,342140.74,33345235.77,90
2022-08-21,70937.33,32790581.15,90
2022-08-22,115212.42,32768347.86,90
2022-08-23,81179.63,32536591.83,90
2022-08-24,121670.63,32534742.18,90
2022-08-25,119345.55,32193327.33,90
2022-08-26,888889.67,32807389.74,90
2022-08-27,1674696.58,34015299.56,90
2022-08-28,84795.14,33232808.42,90
2022-08-29,109000.04,33171445.6,90
2022-08-30,75176.37,33143514.84,90
2022-08-31,731814.1,32524772.74,90
2022-09-01,695103.27,32953833.99,90
2022-09-02,910585.5,33736581.1,90
2022-09-03,138128.98,33757831.11,90
2022-09-04,86349.42,33087140.01,90
2022-09-05,124865.73,33106237.3,90
2022-09-06,111552.06,32481435.52,90
2022-09-07,140308.22,32545430.02,90
2022-09-08,67966.68,32489931.73,90
2022-09-09,124128.62,32083638.71,90
2022-09-10,92864.87,31302036.53,90
2022-09-11,128851.44,30913026.99,90
2022-09-12,142566.83,30872764.7,90
2022-09-13,112160.27,30828475.34,90
2022-09-14,280599.9,30952128.97,90
2022-09-15,133755.32,30580607.94,90
2022-09-16,90846.65,29964591.53,90
2022-09-17,2165772.23,31620559.16,90
2022-09-18,158607.03,31694556.03,90
2022-09-19,496714.49,31582766.39,90
2022-09-20,125167.74,31152875.49,90
2022-09-21,341048.57,31345005.59,90
2022-09-22,770104.35,32032501.88,90
2022-09-23,309689.87,32086998.06,90
2022-09-24,82472.25,31866763.42,90
2022-09-25,109387.98,31832609.2,90
2022-09-26,1133576.14,32489047.24,90
2022-09-27,155612.49,32532403.04,90
2022-09-28,81706.62,32475357.77,90
2022-09-29,261915.4,31691618.22,90
2022-09-30,290857.73,31322104.68,90
2022-10-01,111985.1,31312060.79,90
2022-10-02,538143.82,31717568.98,90
2022-10-03,608637.3,32104966.32,90
2022-10-04,544398.74,32527444.81,90
2022-10-05,1131883.3,33481906.66,90
2022-10-06,495227.62,33708029.97,90
2022-10-07,578106.94,33939304.13,90
2022-10-08,489927.08,33749628.08,90
2022-10-09,920220.91,34419704.25,90
2022-10-10,1279709.84,35430843.29,90
2022-10-11,384833.34,35714251.06,90
2022-10-12,477158.34,36079853.53,90
2022-10-13,295375.45,36283388.44,90
2022-10-14,470782.63,36622833.57,90
2022-10-15,123122.62,36269593.53,90
2022-10-16,491907.33,36525533.2,90
2022-10-17,1299932.23,37243631.03,90
2022-10-18,607939.07,37143254.49,90
2022-10-19,632285.44,37494033.77,90
2022-10-20,2421688.39,39123290.04,90
2022-10-21,492019.45,39170548.24,90
2022-10-22,684403.64,39008515.46,90
2022-10-23,526085.4,39413431.77,90
2022-10-24,741412.15,39369548.84,90
2022-10-25,143413.48,39382709.43,90
2022-10-26,304780.26,39594008.77,90
2022-10-27,950451.99,39249539.14,90
2022-10-28,425794.57,39537483.29,90
2022-10-29,171124.86,39405171.75,90
2022-10-30,114601.66,39401644.54,90
2022-10-31,140542.33,39448298.41,90
2022-11-01,544122.17,39553519.22,90
2022-11-02,66531.0,37956167.07,90
2022-11-03,142940.04,37923787.93,90
2022-11-04,647601.41,38278116.38,90
2022-11-05,263250.06,38437234.75,90
2022-11-06,205242.29,37627664.98,90
2022-11-07,251228.28,37802033.4,90
2022-11-08,1823630.46,39337573.28,90
2022-11-09,503146.33,39723023.93,90
2022-11-10,895838.77,40473568.5,90
2022-11-11,77372.9,40318788.61,90
2022-11-12,355656.03,40393133.33,90
2022-11-13,484824.3,40561426.89,90
2022-11-14,104892.31,40539976.67,90
2022-11-15,340018.92,40734620.42,90
2022-11-16,139603.27,40610763.69,90
2022-11-17,505789.89,40227708.56,90
