month,customer_type,orders,customers,revenue
2022-01,New,1770,1764,12229353.49
2022-01,Returning,239,225,470588.89
2022-02,New,1259,1257,9282211.7
2022-02,Returning,579,534,3964706.03
2022-03,New,1038,1037,8294031.66
2022-03,Returning,924,828,5411018.85
2022-04,New,765,762,3851737.46
2022-04,Returning,1175,1071,6950835.07
2022-05,New,578,578,3692107.96
2022-05,Returning,1484,1347,10066483.53
2022-06,New,472,472,1296656.66
2022-06,Returning,1441,1327,9497475.52
2022-07,New,353,353,3075209.09
2022-07,Returning,1607,1456,8877763.82
2022-08,New,237,237,1251859.25
2022-08,Returning,1782,1563,9936910.38
2022-09,New,188,187,822523.38
2022-09,Returning,1806,1636,9020976.67
2022-10,New,188,187,2493380.14
2022-10,Returning,1859,1685,16083691.37
2022-11,New,114,114,1049685.19
2022-11,Returning,1802,1640,10421803.27
2022-12,New,115,115,298877.52
2022-12,Returning,1956,1756,13919651.09
2023-01,New,56,56,130304.76
2023-01,Returning,1945,1754,11994263.28
2023-02,New,56,56,77138.19
2023-02,Returning,1843,1689,13990709.23
2023-03,New,40,40,62771.01
2023-03,Returning,1993,1807,11178370.48
2023-04,New,27,27,212730.08
2023-04,Returning,1900,1729,8533607.76
2023-05,New,23,23,516750.01
2023-05,Returning,1930,1761,9875821.78
2023-06,New,21,21,42057.29
2023-06,Returning,2007,1823,11278537.97
2023-07,New,11,11,19070.85
2023-07,Returning,2010,1815,9856215.65
2023-08,New,8,8,6665.43
2023-08,Returning,2079,1880,12820046.02
2023-09,New,9,9,15347.35
2023-09,Returning,1963,1777,14201257.8
2023-10,New,8,8,18828.19
2023-10,Returning,2040,1853,13836771.11
2023-11,New,2,2,3556.19
2023-11,Returning,1977,1809,11954616.35
2023-12,New,1,1,252.56
2023-12,Returning,2044,1866,11955642.96
2024-01,New,5,5,9978.41
2024-01,Returning,1998,1816,12992511.04
2024-02,New,2,2,1632.61
2024-02,Returning,1842,1684,12941730.19
2024-03,New,1,1,10055.2
2024-03,Returning,2041,1855,13166431.15
2024-04,Returning,1980,1774,15048878.24
2024-05,Returning,2165,1941,11435068.89
2024-06,New,1,1,1436.65
2024-06,Returning,1921,1714,12077165.23
2024-07,New,1,1,3419.58
2024-07,Returning,1976,1799,13062009.99
2024-08,Returning,1994,1775,14220930.05
2024-09,Returning,1938,1778,9606012.55
2024-10,Returning,2016,1838,13447009.63
2024-11,Returning,1918,1757,12963428.85
2024-12,Returning,2043,1855,13793490.52
