cohort_month,order_month,month_index,cohort_revenue,active_customers
2022-01,2022-01,0,12699942.38,1813
2022-01,2022-02,1,2710163.14,394
2022-01,2022-03,2,2517533.05,413
2022-01,2022-04,3,2047192.11,435
2022-01,2022-05,4,1883676.26,473
2022-01,2022-06,5,2751813.1,413
2022-01,2022-07,6,2686526.25,413
2022-01,2022-08,7,3305644.41,450
2022-01,2022-09,8,2318227.41,422
2022-01,2022-10,9,3668188.58,462
2022-01,2022-11,10,4558298.32,413
2022-01,2022-12,11,3895254.42,436
2022-01,2023-01,12,2040236.57,423
2022-02,2022-02,0,10536754.59,1287
2022-02,2022-03,1,1279155.25,285
2022-02,2022-04,2,3140572.26,295
2022-02,2022-05,3,2670390.68,317
2022-02,2022-06,4,3401156.93,287
2022-02,2022-07,5,1240762.17,301
2022-02,2022-08,6,1470624.48,305
2022-02,2022-09,7,2760975.27,311
2022-02,2022-10,8,2007266.39,304
2022-02,2022-11,9,1123625.88,292
2022-02,2022-12,10,3383468.96,333
2022-02,2023-01,11,2368715.3,312
2022-02,2023-02,12,2844602.94,286
2022-03,2022-03,0,9908362.21,1076
2022-03,2022-04,1,1086975.33,263
2022-03,2022-05,2,2504045.14,289
2022-03,2022-06,3,1725635.75,237
2022-03,2022-07,4,2215953.98,252
2022-03,2022-08,5,1351778.19,254
2022-03,2022-09,6,884757.97,286
2022-03,2022-10,7,1868781.78,241
2022-03,2022-11,8,1215104.33,239
2022-03,2022-12,9,1883206.06,254
2022-03,2023-01,10,2617772.17,266
2022-03,2023-02,11,2747341.97,246
2022-03,2023-03,12,1798747.62,255
2022-04,2022-04,0,4527832.83,787
2022-04,2022-05,1,1640152.26,193
2022-04,2022-06,2,884508.0,185
2022-04,2022-07,3,1611756.99,183
2022-04,2022-08,4,1698447.86,179
2022-04,2022-09,5,2034174.01,201
2022-04,2022-10,6,1872205.15,186
2022-04,2022-11,7,2128092.4,187
2022-04,2022-12,8,1016268.77,184
2022-04,2023-01,9,1634508.02,197
2022-04,2023-02,10,1982189.08,190
2022-04,2023-03,11,1406652.63,181
2022-04,2023-04,12,700742.92,178
2022-05,2022-05,0,5060327.15,594
2022-05,2022-06,1,596725.2,135
2022-05,2022-07,2,513841.95,144
2022-05,2022-08,3,1326399.79,155
2022-05,2022-09,4,449701.94,141
2022-05,2022-10,5,2300856.46,140
2022-05,2022-11,6,247982.23,143
2022-05,2022-12,7,603473.49,143
2022-05,2023-01,8,931326.99,140
2022-05,2023-02,9,1245046.33,134
2022-05,2023-03,10,2119142.61,159
2022-05,2023-04,11,1010243.92,124
