product_a,product_b,category_a,category_b,times_bought_together
Everyone Makeup Max,Behind Snacks Pro,Beauty,Grocery,14
Everyone Makeup Max,Evening Fragrances Max,Beauty,Beauty,14
Everyone Makeup Max,Moment Makeup Ultra,Beauty,Beauty,14
Next Action Figures Max,Change Headphones Pro,Toys,Electronics,14
Produce Cameras Lite,Art Fitness Equipment Plus,Electronics,Sports,14
Specific Board Games Lite,These Educational Pro,Toys,Toys,14
Effort Outdoor Toys Plus,The Bedding,Toys,Home & Kitchen,13
Hour Appliances Plus,Recent Bedding Pro,Home & Kitchen,Home & Kitchen,13
Hundred Snacks Max,South Board Games Lite,Grocery,Toys,13
Involve Non-Fiction,Everyone Makeup Max,Books,Beauty,13
Off Outdoor Gear Ultra,Partner Skincare Pro,Sports,Beauty,13
Rock Team Sports Plus,Traditional Cookware Ultra,Sports,Home & Kitchen,13
Significant Team Sports,Hundred Comics,Sports,Books,13
So Snacks Pro,Everyone Makeup Max,Grocery,Beauty,13
Star Outdoor Gear Lite,Material Non-Fiction Max,Sports,Books,13
Task Women'S Apparel Pro,Information Non-Fiction Lite,Clothing,Books,13
Whole Board Games Plus,Everyone Makeup Max,Toys,Beauty,13
Win Fragrances,Really Action Figures Max,Beauty,Toys,13
Accept Women'S Apparel Ultra,Sell Bedding Ultra,Clothing,Home & Kitchen,12
According Snacks Max,Recognize Team Sports Max,Grocery,Sports,12
Card Cameras Pro,Case Organic Pro,Electronics,Grocery,12
Civil Outdoor Gear Lite,Thus Makeup,Sports,Beauty,12
Cold Tablets Lite,Detail Action Figures Lite,Electronics,Toys,12
Everyone Makeup Max,Act Accessories Lite,Beauty,Clothing,12
Everyone Makeup Max,Dream Cookware,Beauty,Home & Kitchen,12
Face Makeup Pro,Performance Accessories Pro,Beauty,Clothing,12
Get Outdoor Gear Max,Nature Team Sports,Sports,Sports,12
Her Academic Max,Organization Laptops Lite,Books,Electronics,12
Hundred Team Sports Ultra,Everybody Outdoor Gear Ultra,Sports,Sports,12
It Appliances Max,Usually Academic Plus,Home & Kitchen,Books,12
