state,total_orders,unique_customers,total_revenue,revenue_per_customer,avg_order_value,revenue_rank
NJ,3703,3085,29135357.78,9444.2,7868.04,1
IN,3632,3019,26873242.57,8901.37,7399.02,2
AZ,3604,3012,25145550.66,8348.46,6977.12,3
TN,3586,2991,24759482.4,8277.99,6904.48,4
MD,3569,2953,24716054.87,8369.81,6925.2,5
VA,3644,3029,24642808.68,8135.63,6762.57,6
WA,3748,3108,24514128.41,7887.43,6540.59,7
GA,3585,3009,23572714.71,7834.07,6575.37,8
WI,3734,3115,23331142.58,7489.93,6248.3,9
OH,3567,2999,22965961.01,7657.87,6438.45,10
PA,3709,3101,22733644.92,7331.07,6129.32,11
NY,3608,2993,22380220.49,7477.52,6202.94,12
MI,3775,3152,22252303.86,7059.74,5894.65,13
NC,3736,3113,21840903.42,7016.03,5846.07,14
IL,3596,3019,20579116.52,6816.53,5722.78,15
MO,3689,3073,20342269.2,6619.68,5514.3,16
TX,3650,3025,20201195.99,6678.08,5534.57,17
FL,3531,2967,19746893.74,6655.51,5592.44,18
CA,3726,3073,18922696.46,6157.73,5078.56,19
MA,3647,3020,17146972.31,5677.81,4701.67,20
